geography,legislation,topic,subtopic,new_topic,new_subtopic,flexible_fund,program,summary_description,program_description, allocation ,amount_exact,percent_spent,agency,source,source_url,current_as_of,expiration,is_expired
Chicago,ARPA State and Local Fiscal Recovery Funds,Household Investment,Targeted Economic Assistance,Household Investment,Targeted Economic Assistance,Yes,Targeted financial and legal assistance for underserved residents,"Financial assistance programs for underserved communities, including monthly cash assistance","Creates immediate financial assistance programs for underserved communities such as undocumented residents, domestic workers, and small community-based nonprofits providing safety net services; pilot a monthly cash assistance program for hard-hit, low-income households in need of additional economic stability; expand legal assistance programs through the Legal Protection Fund and Community Justice Initiative","$71,000,000.00 ",1,NA,"Chicago Department of Family and Support Services, Department of Business Affairs and Consumer Protection","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Illinois,ARPA State and Local Fiscal Recovery Funds,Community Safety,Violence Prevention/Reduction,Community Safety,Violence Prevention/Reduction,Yes,Teen Reach,After school programs for high-risk youth between ages 6 and 17,Teen REACH is a comprehensive development initiative providing afterschool program services to high-risk youth between the ages of 6 and 17,"$10,000,000.00 ",1,0.04,Illinois Department of Human Services,"<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>",https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf,9/15/2022,12/31/2024,0
Illinois,ARPA State and Local Fiscal Recovery Funds,,,Community Investment,Community Development,Yes,The Research in Illinois to Spur Economic Recovery Program (RISE) ,Grants for local governments and economic development organizations,Grants to help local governments and economic development organizations to create or update economic plans to promote economic recovery ,"$3,500,000 ",1,NA,Illinois Department of Commerce and Economic Opportunity,"<a href = ""https://www2.illinois.gov/dceo/Media/PressReleases/Pages/PR20220913.aspx#:~:text=Through%20the%20Research%20in%20Illinois,plans%20to%20promote%20economic%20recovery."">State of Illinois Press Release</a>","https://www2.illinois.gov/dceo/Media/PressReleases/Pages/PR20220913.aspx#:~:text=Through%20the%20Research%20in%20Illinois,plans%20to%20promote%20economic%20recovery.",9/13/2022,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Household Investment,Targeted Economic Assistance,Community Investment,Community Development,Yes,Together We Heal place-making grants,Community engagement and cultural projects,"Support for projects that utilize community engagement to produce cultural projects including community-led public art installations, historical walking tours, neighborhood and educational websites, pop up galleries, and other cultural activations","$6,000,000.00 ",1,NA,Chicago Department of Cultural Affairs and Special Events,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Illinois,ARPA State and Local Fiscal Recovery Funds,Community Investment,Community Development,Community Investment,Community Development,Yes,Tourism attraction development grant program,Tourism programming,"Funds supporting the Illinois Department of Commerce and Economic Opportunity's tourism grants, including the Main Street Festival Grant","$10,000,000.00 ",1,NA,Illinois Department of Commerce and Economic Opportunity,"<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>",https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf,9/15/2022,12/31/2024,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Community Investment,Community Development,Community Investment,Community Development,Yes,Transforming Places,Economic and community development planning,"Cook County will identify high vulnerability communities and co-design a process to meet community-defined needs for economic development, community building, community safety, public health, education or social services. The County will support communities over a sustained period to ensure implementation and capacity-building, as well as helping attract additional public, private, and philanthropic resources.","$3,587,500.00 ",0,NA,Cook County Bureau of Economic Development; Cook County Equity Fund Taskforce,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Illinois,ARPA State and Local Fiscal Recovery Funds,Household Investment,Household Supportive Services,Household Investment,Household Supportive Services,Yes,Unemployment Insurance Extension Implementation Grants,Implementation of extended unemployment insurance,These funds support implementation of extended unemployment insurance,"$275,000.00 ",1,NA,Illinois Department of Employment Security,"<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>",https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf,9/15/2022,12/31/2024,0
Chicago,Chicago General Obligation Bond,,,Community Investment,Infrastructure,Yes,Updates to City digital services,IT and digital service team investments,Investments in IT and digital service delivery teams to improve the effectiveness of relief and support programs addressing negative economic impacts exacerbated by the pandemic,"$15,000,000.00 ",1,NA,"Chicago Department of Assets, Information and Services; Chicago Department of Planning and Development","<a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html"">City of Chicago</a>",https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html,9/20/2021,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,,,Community Investment,Infrastructure,Yes,Updates to City digital services,IT and digital service team investments,Investments in IT and digital service delivery teams to improve the effectiveness of relief and support programs addressing negative economic impacts exacerbated by the pandemic,"$10,000,000.00 ",1,NA,Chicago Office of Budget and Management,"<a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html"">City of Chicago</a>",https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html,9/20/2021,12/31/2024,0
Chicago ,Chicago General Obligation Bond,,,Community Investment,Community Development,Yes,Vacant buildings rehabilitation program,Vacant commercial and mixed-use building rehabilitation,"Rehabilitates vacant commercial and mixed-use buildings in neighborhood corridors for use by residents and business owners, emphasizing areas identified as key violence reduction areas","$54,000,000.00 ",1,NA,Chicago Department of Planning and Development,"<a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html"">City of Chicago</a>",https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html,9/20/2021,12/31/2024,0
Chicago,Chicago General Obligation Bond,Community Investment,Community Development,Community Investment,Community Development,Yes,Vacant lot reduction strategy,A wealth-building program transferring ownership of City-owned land to neighborhood residents,Reactivates vacant City-owned land and build community wealth by streamlining environmental reviews and transferring ownership to neighborhood residents for community benefit,"$82,000,000.00 ",1,NA,"Chicago Departments of Transportation; Planning and Development; Asset, Information, and Services","<a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html"">City of Chicago</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Community Investment,Community Development,Community Investment,Community Development,Yes,Vacant lot reduction strategy,A wealth-building program transferring ownership of City-owned land to neighborhood residents,Reactivates vacant City-owned land and build community wealth by streamlining environmental reviews and transferring ownership to neighborhood residents for community benefit,"$5,000,000.00 ",1,NA,Chicago Department of Planning and Development,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Household Investment,Targeted Economic Assistance,Household Investment,Targeted Economic Assistance,Yes,Veteran grant program,Establishing a fund to provide grants for community-based veteran service organizations and veteran-owned businesses,The Department of Veterans Affairs will establish a fund to provide grants to community-based veteran service organizations and veteran-owned businesses. The Veteran Grant Program will begin with a seed of $5 million for grants in the following areas: Program Enhancement; Capital Improvements; and Small Business Development.,"$3,587,500.00 ",0,NA,Cook County Department of Veterans Affairs,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Community Safety,Victim Supports,Community Safety,Victim Supports,Yes,Victim supporting fund,Services and supports for victims of violent crime,"Services and supports for victims of violent crime and their families, including mental health supports, crisis intervention, support with accessing crime victim compensation, housing, food, and more","$10,000,000.00 ",1,NA,Chicago Department of Public Health,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Community Safety,Violence Prevention/Reduction,Community Safety,Violence Prevention/Reduction,Yes,Violence prevention and reduction grant portfolio,Community-based services supporting justice-involved adults and youth,"The Justice Advisory Council (JAC) will expand funding for community-based services supporting justice-involved adults or youth, and those at high risk of experiencing violence as either a victim or perpetrator. Services include direct street-level intervention, mentoring, basic needs assistance, educational and vocational programming, and behavioral health and wellness support.","$5,127,023.71 ",0,NA,Cook County Justice Advisory Council,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Chicago,Chicago General Obligation Bond,Household Investment,Household Supportive Services,Household Investment,Household Supportive Services,Yes,Water reconnection program,Plumbing and water reconnection repairs,Complete plumbing and water reconnection repairs for households unable to make repairs necessary to access clean municipal water sources,"$13,000,000.00 ",1,NA,Chicago Department of Water Management,"<a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html"">City of Chicago</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Workforce Development,Job Training,Workforce Development,Job Training,Yes,Workforce development program,Workforce development programming and wraparound services,"Provides workforce development programming, including apprenticeship, career services, and other wraparound support for those entering the workforce or new industries","$9,500,000.00 ",1,NA,Chicago Department of Family and Support Services,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Illinois,ARPA State and Local Fiscal Recovery Funds,Workforce Development,Workforce Sustainability,Workforce Development,Workforce Sustainability,Yes,Workforce recovery,Workforce programs for displaced wokers and underrepresented populations,"Connects displaced workers, with an emphasis on underrepresented populations, with new opportunities and reinvigorated efforts to reach unemployed and underemployed populations at all skill levels","$50,000,000.00 ",1,NA,Illinois Department of Commerce and Economic Opportunity,"<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>",https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf,9/15/2022,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Community Safety,Criminal Justice Reform,Community Safety,Criminal Justice Reform,Yes,Youth intervention programs,"Interventions for young people involved in violent crime, both victims and perpetrators","Expands interventions for young people with violence involvement--both victims and perpetrators--that will include case management and services such as mental health, employment support, and other wraparound services","$19,500,000.00 ",1,NA,Chicago Department of Family and Support Services,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Community Safety,Criminal Justice Reform,Community Safety,Criminal Justice Reform,Yes,Youth justice diversion program,Implementation of a new youth diversion model,"Implementation of a new youth deflection and diversion model, including facility/space needs and social services","$10,000,000.00 ",1,NA,Chicago Department of Family and Support Services,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Workforce Development,Workforce Supportive Services,Workforce Development,Workforce Supportive Services,Yes,Youth programs,Creates and expands youth career programs,"Creates and expands a comprehensive portfolio of programs to connect Chicago youth with early career opportunities, as well as an expansion of the My CHI. My Future. Program to increase opportunities for out-of-school programming and education","$65,000,000.00 ",1,NA,Chicago Department of Family and Support Services,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
